TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
NAFG3;64,37;;11,80;2,76;1,15;41,15;16,49;9,34;6,68;5,06;1,17;0,48;1,10;3,20;-2,87;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-1,14;508.315.292,42
NAFG4;19,02;;3,49;0,82;0,34;41,15;16,49;9,34;1,97;5,06;1,17;0,48;0,33;0,94;-0,85;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-0,34;508.315.292,42
NEMO3;0,00;;0,00;0,00;0,00;49,68;44,37;5,73;0,00;3,22;3,22;3,84;0,00;0,00;0,00;2,95;15,43;1,97;18,96;0,13;0,87;0,34;32,90;34,08;;88,08;13,59;0,00;0,00
NEMO5;52,97;2,40;3,90;0,60;0,08;49,68;44,37;5,73;0,50;3,22;3,22;3,84;0,22;0,41;-0,11;2,95;15,43;1,97;18,96;0,13;0,87;0,34;32,90;34,08;;88,08;13,59;-0,02;0,00
NEMO6;0,00;;0,00;0,00;0,00;49,68;44,37;5,73;0,00;3,22;3,22;3,84;0,00;0,00;0,00;2,95;15,43;1,97;18,96;0,13;0,87;0,34;32,90;34,08;;88,08;13,59;0,00;0,00
NEOE3;18,93;4,23;5,56;0,92;0,26;26,36;19,37;9,24;2,65;6,57;3,92;1,36;0,51;6,00;-0,35;1,20;16,58;4,71;10,96;0,28;0,71;0,51;23,82;68,63;33.010.135,85;20,52;3,40;0,20;22.977.181.904,64
NGRD3;2,32;1,18;37,90;1,18;0,72;66,53;10,37;5,95;21,75;13,08;-8,67;-0,47;2,25;2,23;-1,41;2,94;3,12;1,90;2,97;0,61;0,39;0,32;;;3.248.338,80;1,96;0,06;2,08;553.696.605,60
NINJ3;3,94;;-4,83;0,69;0,65;91,83;-83,43;-65,67;-3,80;1,83;5,63;-1,02;3,17;0,70;-36,04;15,13;-14,30;-13,37;-18,17;0,94;0,06;0,20;;;1.163.575,70;5,71;-0,82;0,00;197.884.975,22
NORD3;9,36;;-8,07;-0,42;3,51;90,73;-38,84;-386,85;-80,39;-129,47;-49,08;;31,22;-1,34;-3,83;0,03;-5,20;-43,48;0,70;-8,36;9,36;0,11;;;5.998,41;-22,30;-1,16;-0,01;61.977.108,96
NRTQ3;0,00;;0,00;0,00;0,00;29,39;17,02;13,79;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,08;19,53;13,41;17,04;0,69;0,31;0,97;13,67;18,27;;15,50;3,03;0,00;0,00
NTCO3;19,27;0,68;25,37;0,93;0,44;65,11;2,78;2,61;23,78;29,80;6,02;0,24;0,66;7,08;-0,62;1,27;3,67;1,73;0,17;0,47;0,53;0,66;38,39;28,71;360.344.130,15;20,70;0,76;-0,10;26.587.533.049,85
NUTR3;250,00;;4,78;1,39;0,39;15,98;9,26;5,21;2,69;3,63;0,94;0,49;0,25;1,13;-1,06;2,24;29,15;8,22;27,86;0,28;0,72;1,58;33,43;;25.000,00;179,41;52,30;0,05;31.986.000,00
ODER4;857,15;0,15;100,68;26,99;11,63;31,91;21,50;14,56;68,19;69,59;1,40;0,55;14,66;42,81;-41,40;1,61;26,81;11,55;17,55;0,43;0,57;0,79;11,24;16,77;;31,76;8,51;-5,27;9.674.742.907,90
ODPV3;10,16;3,29;13,34;5,15;2,99;61,98;30,51;23,49;10,27;9,68;-0,59;-0,30;3,13;-620,50;-4,27;0,98;38,63;22,40;33,28;0,58;0,42;0,95;6,18;14,93;13.411.675,70;1,97;0,76;1,37;5.775.612.558,48
OFSA3;22,06;2,44;10,44;1,86;0,94;49,41;15,59;12,59;8,43;10,00;1,57;0,34;1,32;2,46;-2,57;2,97;17,77;8,97;12,64;0,51;0,43;0,71;14,66;;280.261,33;11,89;2,11;0,39;1.190.115.072,36
OGXP3;1,63;;-2,15;-0,98;0,92;;;;-9,26;-9,26;0,00;;;-0,98;;0,51;-45,53;-43,02;10,57;-0,94;1,94;0,00;;;;-1,67;-0,76;0,02;52.747.073,84
